buildAddress,buildPlace,clerkTel,friEndTme,friSttTme,holEndTme,holSttTme,manager,managerTel,mfg,model,monEndTme,monSttTme,org,rnum,satEndTme,satSttTme,serialSeq,sunEndTme,sunFifYon,sunFrtYon,sunFurYon,sunScdYon,sunSttTme,sunThiYon,thuEndTme,thuSttTme,tueEndTme,tueSttTme,wedEndTme,wedSttTme,wgs84Lat,wgs84Lon,zipcode1,zipcode2,AED_기준,출처
"부산광역시 동구 충장대로 206 (초량동, 부산여객터미널)","2층갱웨이(선박,대합실 사이 통로)",051-966-3068,2000,600,2000.0,600.0,최**,010********,나눔테크,리하트 NT-381.C,2000.0,600.0,부산여객터미널(부산항만공사),1,2000.0,600.0,487-160126-000477,2000.0,Y,Y,Y,Y,600.0,Y,2000,600,2000.0,600.0,2000,600,35.1177462516,129.0491459123,487.0,51.0,2026-07,공공데이터포털 15000652
부산광역시 동구 구청로 1,4층 보건행정과(무료대여용),051-440-4500,2400,0,2400.0,0.0,이**,051*******,(주)나눔테크,NT-381.C,2400.0,0.0,부산동구보건소,2,2400.0,0.0,487-200911-043688,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1292975675,129.0452982033,487.0,81.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 514 606호,경비실입구,051-633-4597,2400,0,2400.0,0.0,김**,010********,(주)라디안,HR-501-B,2400.0,0.0,한성기린프라자아파트,3,2400.0,0.0,487-170802-000832,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1389771856,129.0569486225,487.0,26.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 구청로 1, 동구보건소 (수정동)",1층민원실,051-440-4500,1800,900,,,김**,051*******,(주)나눔테크,NT-381.C,1800.0,900.0,부산동구보건소,4,,,487-191115-026053,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1293703969,129.0449343107,487.0,81.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 수정중로11번길 23, 수정2동주민센터 (수정동)",주민센터안,051-440-6207,2400,0,,,홍**,051*******,(주)나눔테크,NT-381.C,2400.0,0.0,수정2동행정복지센터,5,,,487-191205-026054,,N,N,N,N,,N,2400,0,2400.0,0.0,2400,0,35.1299517298,129.0426273029,487.0,82.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 좌천남로 19, 좌천동 주민센터 (좌천동)",주민센터안,051-440-6268,1800,900,,,안**,051*******,(주)나눔테크,NT-381.C,1800.0,900.0,좌천동행정복지센터,6,,,487-191205-026056,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1313898007,129.0491543259,487.0,73.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 자성로116번길 2  (범일동, 두산위브포세이돈Ⅱ)",아파트 정문 경비실,051-646-7060,2400,0,2400.0,0.0,유**,010********,나눔테크,HeartKeeper,2400.0,0.0,두산위브포세이돈2아파트,7,2400.0,0.0,487-180629-001890,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.136231178,129.0634594037,487.0,48.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 홍곡로 53, 부산광역시립중앙도서관 수정분관 (수정동)",1층 복도,0514400371,2400,0,2400.0,0.0,최**,051*******,(주)라디안,HR-501,2400.0,0.0,부산광역시립중앙도서관 수정분관,8,2400.0,0.0,487-191205-027472,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1244463708,129.0404467802,487.0,85.0,2026-07,공공데이터포털 15000652
부산광역시 동구 망양로 748,복지관 2층,070-7854-2642,1800,900,,,유**,010********,메디아나,Heart On A15,1800.0,900.0,동구장애인복지관,9,,,487-170920-000901,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.130917228,129.0404195781,487.0,82.0,2026-07,공공데이터포털 15000652
부산광역시 동구 범일로 108,역무 안전실 인근,051-678-6117,2400,500,2400.0,500.0,이**,051*******,메디아나,Heart On A15,2400.0,500.0,부산교통공사범일역,10,2400.0,500.0,487-170920-000903,2400.0,Y,Y,Y,Y,500.0,Y,2400,500,2400.0,500.0,2400,500,35.1396099265,129.0596726343,487.0,38.0,2026-07,공공데이터포털 15000652
부산광역시 동구 구청로 1,체육센터 내,051-440-9031,2400,0,2400.0,0.0,양**,051*******,나눔테크,ReHeart NT381,2400.0,0.0,국민체육문예센터,11,2400.0,0.0,487-170921-000905,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1289529498,129.0446742121,487.0,81.0,2026-07,공공데이터포털 15000652
부산광역시 동구 구청로 1,국민체육문예센터 내,051-440-9031,2400,0,2400.0,0.0,양**,051*******,나눔테크,ReHeart NT381,2400.0,0.0,국민체육문예센터,12,2400.0,0.0,487-170921-000906,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1289529498,129.0446742121,487.0,81.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 충장대로 206 (초량동, 부산여객터미널)",3층 대합실,051-966-3068,2000,600,2000.0,600.0,최**,010********,나눔테크,리하트 NT-381.C,2000.0,600.0,부산여객터미널(부산항만공사),13,2000.0,600.0,487-171026-000981,2000.0,Y,Y,Y,Y,600.0,Y,2000,600,2000.0,600.0,2000,600,35.1177462516,129.0491459123,487.0,51.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 충장대로 206 (초량동, 부산여객터미널)",제2터미널,051-966-3068,2000,600,2000.0,600.0,최**,010********,나눔테크,리하트 NT-381.C,2000.0,600.0,부산여객터미널(부산항만공사),14,2000.0,600.0,487-171026-000982,2000.0,Y,Y,Y,Y,600.0,Y,2000,600,2000.0,600.0,2000,600,35.1177462516,129.0491459123,487.0,51.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 홍곡로 50 (초량동, 이편한세상부산항)",정문 주경비실,051-469-9507,2400,0,2400.0,0.0,위**,051*******,(주)라디안큐바이오,HR-501,2400.0,0.0,e편한세상부산항아파트관리사무소,15,2400.0,0.0,487-200320-032283,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1230888901,129.040214165,487.0,94.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 206, 한국철도공사부산지역본부 (초량동)",2층 E/S 16호기 앞,051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼 시스템,sp1 plus,2400.0,0.0,한국철도공사 부산역,16,2400.0,0.0,487-200408-032949,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1148991145,129.0416387707,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 206, 한국철도공사부산지역본부 (초량동)",2층 8번 출입구 옆,051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼 시스템,sp1 plus,2400.0,0.0,한국철도공사 부산역,17,2400.0,0.0,487-200408-032953,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1147046342,129.0414145718,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 206, 한국철도공사부산지역본부 (초량동)",2층 7번 출입구 앞 기둥,051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼 시스템,sp1 plus,2400.0,0.0,한국철도공사 부산역,18,2400.0,0.0,487-200408-032954,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1151307344,129.0417980936,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 421, 제일나라병원 (좌천동)",구급차 내부(71서 8614),051-646-0505,2400,0,2400.0,0.0,김**,010********,(주)메디아나,HEART ON A15-G4,2400.0,0.0,부산나라요양병원,19,2400.0,0.0,487-200504-033940,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1321586019,129.0518474346,487.0,75.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 자성로 134, 눌원빌딩 3층 (범일동)",한국마사회 부산동부지사 3층,051-999-1014,1800,900,,,정**,051*******,필립스,Heart Start,,,한국마사회부산동구지사,20,1800.0,900.0,487-210208-052693,1800.0,Y,Y,Y,Y,900.0,Y,1800,900,,,1800,900,35.1366343699,129.0650399612,487.0,48.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 충장대로 255, 부산진역 (초량동)",부산진역(수송팀)1층 로비,051-440-2573,2400,0,2400.0,0.0,정**,051*******,씨유메디칼시스템,CU-SPI Plus,2400.0,0.0,한국철도공사부산진역,21,2400.0,0.0,487-210402-056344,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1248231304,129.0476215476,487.0,59.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 364, 청십자병원 (수정동)",병원 1층 로비,051-469-1011,1800,900,,,손**,051*******,(주)메디아나,A15-G4,1800.0,900.0,청십자요양병원,22,,,487-200525-034884,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1277990154,129.0483758133,487.0,28.0,2026-07,공공데이터포털 15000652
부산광역시 동구 망양로685번길 2  (수정동),민원실,051-440-6222,1800,900,,,백**,051*******,씨유메디칼시스템,CU-SP1 Plus,1800.0,900.0,수정4동행정복지센터,23,,,487-181217-014776,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1271106507,129.0406839346,487.0,14.0,2026-07,공공데이터포털 15000652
부산광역시 동구 초량중로 38 2층 (초량동),동구평생학습관(2층),051-440-4081,1800,900,,,강**,051*******,씨유메디칼시스템,CU-SP1,1800.0,900.0,동구평생학습관,24,,,488-181217-014803,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1151511528,129.0375871441,488.0,18.0,2026-07,공공데이터포털 15000652
부산광역시 동구 영초윗길 48  (초량동),행정사무실,051-468-1248,1800,900,,,정**,051*******,씨유메디칼시스템,CU-SP1 Plus,1800.0,900.0,장기려기념더나눔센터,25,,,488-181217-014805,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.118535928,129.0326525849,488.0,8.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로209번길 30  (초량동),민원실,051-440-6136,1800,900,,,정**,051*******,씨유메디칼시스템,CU-SP1,1800.0,900.0,초량2동행정복지센터,26,,,488-181217-014819,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1165345818,129.0384902297,488.0,16.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 대영로 261, 은성빌딩 (초량동)",구급차 내(722다9290),051-463-9119,2400,0,2400.0,0.0,박**,010********,(주)필립스코리아,HEARTSTART HS1,2400.0,0.0,척시원병원,27,2400.0,0.0,488-200602-035543,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1118657649,129.0392629899,488.0,22.0,2026-07,공공데이터포털 15000652
