순위,유형,설치형태,이름,종류,야간등급,lon,lat,표고_m,신규커버_집계구,신규커버_75세이상,커버_행정동,확보수요,누적_75세이상,누적_수요커버율_%
1,Tier1,기존 24시간 시설 실내 비치,초량 지구대,police,A,129.037695,35.117869,18.0,1,73,초량2동,0.0621,73,1.6
2,Tier1,기존 24시간 시설 실내 비치,세븐일레븐,convenience,A,129.041777,35.120361,29.0,2,282,초량3동,0.0533,355,3.0
3,Tier1,기존 24시간 시설 실내 비치,세븐일레븐,convenience,A,129.036936,35.114154,16.0,2,72,초량1동,0.0382,427,4.0
4,Tier1,기존 24시간 시설 실내 비치,CU,convenience,A,129.039493,35.113313,18.0,1,31,초량1동,0.0185,458,4.4
5,Tier1,기존 24시간 시설 실내 비치,초량 2 치안센터,police,A,129.039694,35.120139,15.0,1,46,초량3동,0.017,504,4.9
6,Tier1,기존 24시간 시설 실내 비치,GS25,convenience,A,129.038236,35.115313,11.0,1,36,초량2동,0.0131,540,5.2
7,Tier1,기존 24시간 시설 실내 비치,세븐일레븐,convenience,A,129.040719,35.117206,14.0,1,69,초량2동,0.0105,609,5.5
8,Tier2,공공시설 옥외 AED함(24시간화),봉생사회복지회,social_facility,C,129.048842,35.132292,29.0,2,141,좌천동,0.0877,750,7.7
9,Tier2,공공시설 옥외 AED함(24시간화),초량6동 주민센터,townhall,C,129.034516,35.120039,41.0,1,110,초량6동,0.0832,860,9.9
10,Tier2,공공시설 옥외 AED함(24시간화),좌천동 주민센터,townhall,C,129.04917,35.131389,11.0,1,73,좌천동,0.03,933,10.6
11,Tier2,공공시설 옥외 AED함(24시간화),초량3동 주민센터,townhall,C,129.03978,35.121342,22.0,2,72,초량3동,0.0264,1005,11.3
12,Tier2,공공시설 옥외 AED함(24시간화),초량2동 주민센터,townhall,C,129.038498,35.116551,11.0,1,54,초량2동,0.0162,1059,11.7
13,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0006 구역,신설,A(신설),129.02905,35.123861,270.0,1,86,초량6동,0.3514,1145,20.8
14,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0010 구역,신설,A(신설),129.048479,35.135385,74.0,1,85,좌천동,0.1784,1230,25.4
15,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0010 구역,신설,A(신설),129.034901,35.122959,90.0,1,128,초량6동,0.1581,1358,29.5
16,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0008 구역,신설,A(신설),129.031781,35.120089,79.0,1,87,초량6동,0.1247,1445,32.7
17,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0009 구역,신설,A(신설),129.033937,35.120816,62.0,1,112,초량6동,0.117,1557,35.7
18,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0007 구역,신설,A(신설),129.034681,35.124398,93.0,1,119,초량6동,0.1145,1676,38.6
19,Tier3,옥외 독립 AED 스테이션 신설,초량2동 0005 구역,신설,A(신설),129.030939,35.117494,128.0,1,76,초량2동,0.1091,1752,41.4
20,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0002 구역,신설,A(신설),129.053111,35.135672,42.0,1,114,좌천동,0.0992,1866,44.0
21,Tier3,옥외 독립 AED 스테이션 신설,초량2동 0007 구역,신설,A(신설),129.034426,35.117969,64.0,1,129,초량2동,0.0987,1995,46.5
22,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0003 구역,신설,A(신설),129.050749,35.134928,90.0,1,89,좌천동,0.0967,2084,49.0
23,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0007 구역,신설,A(신설),129.049491,35.136237,92.0,1,106,좌천동,0.0946,2190,51.5
24,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0001 구역,신설,A(신설),129.034359,35.125917,90.0,1,84,초량6동,0.0932,2274,53.9
25,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0005 구역,신설,A(신설),129.036726,35.123524,50.0,1,97,초량6동,0.0867,2371,56.1
26,Tier3,옥외 독립 AED 스테이션 신설,초량2동 0001 구역,신설,A(신설),129.033824,35.118829,49.0,1,94,초량2동,0.0807,2465,58.2
27,Tier3,옥외 독립 AED 스테이션 신설,초량1동 0005 구역,신설,A(신설),129.036209,35.116186,35.0,1,74,초량1동,0.0801,2539,60.2
28,Tier3,옥외 독립 AED 스테이션 신설,초량2동 0601 구역,신설,A(신설),129.031779,35.118309,80.0,1,63,초량2동,0.0797,2602,62.3
29,Tier3,옥외 독립 AED 스테이션 신설,초량6동 0003 구역,신설,A(신설),129.035885,35.121374,37.0,1,83,초량6동,0.0771,2685,64.3
30,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0013 구역,신설,A(신설),129.046009,35.134348,54.0,1,91,좌천동,0.0726,2776,66.1
31,Tier3,옥외 독립 AED 스테이션 신설,초량1동 0004 구역,신설,A(신설),129.03378,35.116095,104.0,1,71,초량1동,0.0725,2847,68.0
32,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0006 구역,신설,A(신설),129.053986,35.136278,36.0,1,92,좌천동,0.071,2939,69.8
33,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0001 구역,신설,A(신설),129.051035,35.13178,8.0,1,198,좌천동,0.0707,3137,71.7
34,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0011 구역,신설,A(신설),129.048172,35.137833,99.0,1,94,좌천동,0.0691,3231,73.4
35,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0009 구역,신설,A(신설),129.048458,35.134279,74.0,1,82,좌천동,0.0658,3313,75.1
36,Tier3,옥외 독립 AED 스테이션 신설,좌천동 0301 구역,신설,A(신설),129.047105,35.135782,81.0,1,26,좌천동,0.0589,3339,76.6
