순위,이름,유형,행정동,야간접근_현재,야간접근_조치후,필요조치,커버수요,커버수요수,최근접집계구_m,lon,lat
1,농심가할인마트,마트,초량6동,0.4,0.6,영업시간 외 외벽 함체 설치,2088.714,2,34.99106269199625,129.034931,35.124159
2,초량6동 주민센터,주민센터,초량6동,0.1,1.0,★ 외벽 24시간 함체 설치,1178.298,3,101.05762480423076,129.0345155,35.120039
3,봉생사회복지회,공공시설,좌천동,0.1,1.0,★ 외벽 24시간 함체 설치,579.54,3,33.58528570108578,129.0488424,35.1322915
4,좌천치안센터,파출소·지구대,좌천동,1.0,1.0,없음(24시간 상주),396.001,2,45.35444174436728,129.047761,35.133785
5,세븐일레븐,편의점,초량1동,1.0,1.0,없음(이미 24시간),372.85,4,79.41441624744765,129.0369357,35.1141544
6,초량 지구대,파출소·지구대,초량1동,1.0,1.0,없음(24시간 상주),301.644,2,44.48745140204673,129.0376947,35.1178686
7,초량6동우편취급국,공공시설,초량6동,0.1,1.0,★ 외벽 24시간 함체 설치,290.55,1,62.84581071207117,129.036521,35.124065
8,K할인마트,마트,초량2동,0.4,0.6,영업시간 외 외벽 함체 설치,371.64,2,66.3984482620611,129.038295,35.118631
9,동원드림마트,마트,좌천동,0.4,0.6,영업시간 외 외벽 함체 설치,507.463,3,37.214759832864274,129.051087,35.133017
10,좌천,도시철도역,좌천동,0.4,0.7,역사 외부 개방구역에 설치,112.377,2,74.29352350564653,129.0543505,35.1343358
11,CU,편의점,초량1동,1.0,1.0,없음(이미 24시간),54.858,2,8.302478469294808,129.0394926,35.1133131
12,초량2치안센터,파출소·지구대,초량3동,1.0,1.0,없음(24시간 상주),33.225,2,37.648824027822094,129.040677,35.121306
13,(무명),편의점,좌천동,0.4,0.9,운영시간 확인 후 야간 개방 협의,384.614,2,81.59493598000645,129.0505349,35.1311706
14,구봉우편취급국,공공시설,초량2동,0.1,1.0,★ 외벽 24시간 함체 설치,25.641,1,78.48122081910257,129.035883,35.119635
15,수정1동우편취급국,공공시설,초량3동,0.1,1.0,★ 외벽 24시간 함체 설치,23.28,1,34.09422862855181,129.04299,35.122801
