이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,운영시간,x,y,커버수요수,최근접집계구_m,선정
좌천,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0543505,35.1343358,,387244.5448569767,283930.6751219846,2,74.29352350564653,True
초량,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0429702,35.1212017,,386237.04819583875,282451.8678554102,0,95.55985668565867,False
부산진,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0492214,35.1290282,,386789.1103421197,283332.06585640134,0,236.29940602905103,False
좌천치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.047761,35.133785,,386645.11290931166,283857.1740291602,2,45.35444174436728,True
수정치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.043103,35.129994,,386229.1298483796,283427.77070575254,0,441.2737289729911,False
초량2치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.040677,35.121306,,386027.73281440523,282459.1533417458,2,37.648824027822094,True
범일치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0547551,35.13846,,387271.9778167483,284389.0881598264,0,252.17206192318665,False
역전치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.042999,35.114976,,386253.8508183265,281761.07581517124,0,349.2895307939488,False
남해지방해양경찰청,파출소·지구대,1.0,1.0,없음(24시간 상주),129.055545,35.127254,,387369.664509417,283147.0754884539,0,560.3862652021292,False
부산광역시동구도서관,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0524148,35.1380187,,387059.6600456671,284335.7156527219,0,240.56041860552241,False
삼구유통칸마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.047415,35.129957,,386622.31063404895,283431.74296329584,0,163.45414236148721,False
K할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.038295,35.118631,,385816.6365136314,282157.8680935737,2,66.3984482620611,True
에이마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03969,35.117853,,385945.59565259505,282074.1409753741,0,55.13257546862089,False
J.U25시마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.043939,35.121504,,386324.6879595634,282487.22627026343,1,22.63980749329142,False
몰종합마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0481362,35.1297814,,386688.45869177906,283413.6098908961,0,150.11901748631152,False
동아빅마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.030179,35.113616,,385088.0012142435,281586.2511239302,0,428.39009634847486,False
동원드림마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.051087,35.133017,,386950.0648231468,283778.1950854346,3,37.214759832864274,True
농심가할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.034931,35.124159,,385497.3815998036,282765.0172408714,2,34.99106269199625,True
삼구유통광장마트;대성당,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0473024,35.1302373,,386611.4058103288,283462.6358760832,1,148.77538899559073,False
화장품마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.048332,35.128741,,386708.6845305139,283298.52707086364,0,261.2980777149922,False
완플러스25할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040164,35.113702,,385998.2522114926,281614.4038034723,1,79.2665649658181,False
농심가할마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.034931,35.124159,,385497.3815998036,282765.0172408714,2,34.99106269199625,False
수정5동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04286,35.133241,,386199.5812768203,283787.62583187316,0,312.31802635001424,False
초량3동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.042313,35.117894,,386184.6590941447,282083.59351346816,0,188.85920396287298,False
수정오동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04286,35.133241,,386199.5812768203,283787.62583187316,0,312.31802635001424,False
부산수정5동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04286,35.133241,,386199.5812768203,283787.62583187316,0,312.31802635001424,False
초량6동우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.036521,35.124065,,385642.5547795326,282757.5509326537,1,62.84581071207117,True
수정1동우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04299,35.122801,,386235.21124192106,282629.3741857764,1,34.09422862855181,True
대영우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0334451,35.1128624,,385387.5164744877,281508.7039148425,0,247.94093281491357,False
수정아파트우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.041654,35.127338,,386103.0799611823,283130.3318447068,0,341.5433846166488,False
구봉우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.035883,35.119635,,385594.4419823183,282264.77870634606,1,78.48122081910257,True
서울주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.038746,35.111821,,385873.23078618594,281403.02725471737,1,133.11227465500457,False
천일주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.038815,35.112046,,385879.01121861255,281428.12356174685,1,114.68667651866845,False
해안주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0425151,35.1134676,,386213.1624929862,281592.7883736928,0,283.44673891980807,False
대륙주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.047561,35.126737,,386642.97118483816,283074.7028461521,0,302.69352097533965,False
제일주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.035044,35.111375,,385536.6810934812,281346.63089889335,0,300.2274079482603,False
동방석유초량주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.040677,35.121306,,386027.73281440523,282459.1533417458,2,37.648824027822094,False
동방석유청구주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.051369,35.125974,,386991.88029160665,282997.1831861263,0,544.4351695412468,False
대양산업대박주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.054866,35.129964,,387301.55380208994,283446.51851764496,0,288.6156219747182,False
부산역,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.0399028,35.1157262,,385969.8336040474,281838.5345409437,0,89.2246279638659,False
(무명),주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.054028,35.126628,,387232.79831814946,283074.75494425476,0,559.9667260905459,False
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0387356,35.1101894,,385875.9894526233,281221.95477665024,0,306.0663899363874,False
부산보훈복지회관,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0412725,35.1200683,,386084.8425326808,282322.92288767564,0,57.30142916114491,False
세븐일레븐,편의점,1.0,1.0,없음(이미 24시간),129.0417766,35.1203612,,386130.13690908893,282356.3675908788,0,30.5396094106108,False
CU,편의점,1.0,1.0,없음(이미 24시간),129.0394926,35.1133131,24/7,385937.91696591326,281569.9946902258,2,8.302478469294808,True
