순위,행정동,집계구코드,위험도,설치시설,시설유형,야간접근_현재,필요조치,거리_m,lon,lat
1,초량1동,21030510010005,0.449,빛과소금복지재단,경로당,0.1,★ 외벽 24시간 함체 설치,121.6,129.0373187773747,35.11679399596907
2,좌천동,21030700010015,0.333,좌천치안센터,파출소·지구대,1.0,없음(24시간 상주),45.4,129.047761,35.133785
3,초량6동,21030550010002,0.721,새마을경로당,경로당,0.1,★ 외벽 24시간 함체 설치,45.8,129.032879379026,35.1193648064281
4,초량1동,21030510010001,0.587,애덕의집,경로당,0.1,★ 외벽 24시간 함체 설치,66.8,129.036890767056,35.1144923890497
5,초량2동,21030520010004,0.248,세븐일레븐 초량육거리점,편의점,1.0,없음(이미 24시간),76.8,129.0388248104406,35.12001378200686
6,초량6동,21030550010004,0.32,GS25 초량육거리점,편의점,1.0,없음(이미 24시간),122.0,129.03801520176026,35.120667234237146
7,초량6동,21030550010010,1.0,농심가할마트,마트,0.4,영업시간 외 외벽 함체 설치,133.2,129.034931,35.124159
8,초량6동,21030550010007,0.912,CU 초량망양로점,편의점,1.0,없음(이미 24시간),12.8,129.03481827976046,35.12442568221271
9,좌천동,21030700010401,0.156,누림재가복지센터,경로당,0.1,★ 외벽 24시간 함체 설치,97.9,129.05056000545224,35.13149668497798
10,초량6동,21030550010006,0.731,(반경 내 시설 없음),—,,★ 독립 함체 신설,,129.02905015697388,35.12386116634878
11,초량6동,21030550010001,0.655,정화경로당,경로당,0.1,★ 외벽 24시간 함체 설치,26.7,129.034214533474,35.1261264179193
12,초량6동,21030550010008,0.634,새마을경로당,경로당,0.1,★ 외벽 24시간 함체 설치,128.4,129.032879379026,35.1193648064281
13,초량2동,21030520010005,0.631,(반경 내 시설 없음),—,,★ 독립 함체 신설,,129.0309390167567,35.11749358880411
14,좌천동,21030700010003,0.614,진주상회,마트,0.4,영업시간 외 외벽 함체 설치,80.3,129.049886579116,35.134782022478
15,초량1동,21030510010002,0.509,초일경로당,경로당,0.1,★ 외벽 24시간 함체 설치,96.7,129.034635942929,35.1171400669986
