이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,출처
CU 부산영주터널점,편의점,1.0,1.0,없음(이미 24시간),129.0347774011242,35.11233263953616,kakao
청구주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0512922645268,35.126229580130946,kakao
수정119안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.049210501344,35.129604538323,kakao
부두119안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.052225607411,35.1256135959894,kakao
부산동부경찰서,파출소·지구대,1.0,1.0,없음(24시간 상주),129.049101113252,35.1299668557547,kakao
논스톱 진역점,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.048808823428,35.1293337723277,kakao
세븐일레븐 부산일보점,편의점,1.0,1.0,없음(이미 24시간),129.048247415958,35.128597999258766,kakao
CU 동구수정점,편의점,1.0,1.0,없음(이미 24시간),129.047194097421,35.1292439171609,kakao
GS25 동아햇살점,편의점,1.0,1.0,없음(이미 24시간),129.030095797749,35.1134457103195,kakao
로또마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.04504517180837,35.123934476282436,kakao
케이마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.046313537049,35.1247835898826,kakao
슈퍼복권나라 수정점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.045204865089,35.1275130268281,kakao
파워C마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040606902208,35.1299840660535,kakao
킹마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.043487924248,35.1295642224516,kakao
탑세일마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.045966520496,35.1275731612471,kakao
코사마트 부일점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.045135894594,35.1277376810127,kakao
CJ대한통운 부산주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.054046476381,35.1266641395133,kakao
그린마트,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.04592715101,35.1323563270557,kakao
부산진역 부산1호선,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.04786649362282,35.12779789319554,kakao
세븐일레븐 경남여고맘보점,편의점,1.0,1.0,없음(이미 24시간),129.044833687611,35.1307418717278,kakao
GS25 동구사루비아점,편의점,1.0,1.0,없음(이미 24시간),129.042433991142,35.133568766432,kakao
GS25 부산동구청점,편의점,1.0,1.0,없음(이미 24시간),129.045756144254,35.1301252187314,kakao
창녕상회,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.04213940495,35.1309098775608,kakao
킹마트 수정점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.041137724817,35.1321334240146,kakao
만리노인정,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.03905588913562,35.1325812180786,kakao
대양대박주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.05484342447,35.1300930829292,kakao
부산경찰청 제7기동대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.05386857252847,35.12936344778841,kakao
남해지방해양경찰청,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0552687979474,35.12746527411521,kakao
농수산물과일마트 3호점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.048128156028,35.130361799098,kakao
만남의장소,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.046448564099,35.1300477389174,kakao
한국실버재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.046848986579,35.129392133065,kakao
정다운노인재가센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.047570729952,35.1299602890877,kakao
럭키주간복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.049691629004,35.1301127682864,kakao
수남경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.051830079868,35.1269864655929,kakao
창녕상회,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.041228814735,35.1278729629673,kakao
부산수정동우체국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.04564647233929,35.12731993025056,kakao
새봄재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04176966464,35.1276124228381,kakao
미소들재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04581804869875,35.12501454638359,kakao
GS25 초량일신점,편의점,1.0,1.0,없음(이미 24시간),129.045758503641,35.1247388929666,kakao
GS25 부산고관점,편의점,1.0,1.0,없음(이미 24시간),129.04454611243,35.1263039626926,kakao
일성슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.040984498791,35.1266541917793,kakao
코사마트 미화당수정점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.039990095928,35.1274207131573,kakao
대일마트 수정동점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.038300127729,35.1272148532903,kakao
동구노인종합복지관 운동장,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0397676517913,35.12589066711631,kakao
다은재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.03613301687776,35.12471810281835,kakao
동구노인종합복지관 본관,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.040419363593,35.1258094017898,kakao
수정4동 노인회,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.040370405943,35.1282433849828,kakao
수정4동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.04070404382642,35.1271076986765,kakao
CU 수정진미점,편의점,1.0,1.0,없음(이미 24시간),129.041083215243,35.1275329715608,kakao
CU 초량대박점,편의점,1.0,1.0,없음(이미 24시간),129.04013610344,35.1243038107594,kakao
GS25 수정동일점,편의점,1.0,1.0,없음(이미 24시간),129.0388913956525,35.12523674826697,kakao
서원탑훼밀리마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.034763373335,35.1261424342244,kakao
다감슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03446300111,35.1262375957177,kakao
이마트24 초량대로점,편의점,1.0,1.0,없음(이미 24시간),129.044438861595,35.124602562629,kakao
CU 초량반도보라점,편의점,1.0,1.0,없음(이미 24시간),129.04609936047774,35.12442133247591,kakao
GS25 동구협성휴포레점,편의점,1.0,1.0,없음(이미 24시간),129.046437434566,35.1277184063448,kakao
고관경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.043324779761,35.1254936891805,kakao
조은실버복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0436836397539,35.12975827702506,kakao
부산시 동구 치매안심센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0450018273519,35.12834192491337,kakao
부산광역시 중부노인보호전문기관,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.046463729643,35.125920130575,kakao
대주재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.045778752963,35.1253729740979,kakao
수운경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.040112715806,35.1298734347046,kakao
남성경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.041220890296,35.1282146397567,kakao
지에스칼텍스,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.044792296216,35.1239982216184,kakao
CU 수정온사랑점,편의점,1.0,1.0,없음(이미 24시간),129.044145573093,35.1286663774917,kakao
SK행복충전 개인택시중앙LPG충전소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.046171900416,35.1256547089652,kakao
수정2동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.042620293489,35.1299609499254,kakao
수정1동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.042265410415,35.1254142249488,kakao
부산광역시 동구청,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.045305770386,35.1292668001141,kakao
GS25 수정서로점,편의점,1.0,1.0,없음(이미 24시간),129.04237536252458,35.130343570369355,kakao
프레전트 수정점,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.04564846665,35.1303811664855,kakao
수정5동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0423981867144,35.1338919884012,kakao
나눔재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.035358668853,35.1262180461485,kakao
안심생활 중앙점,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05093058341,35.1399280359767,kakao
세븐일레븐 부산동구동양점,편의점,1.0,1.0,없음(이미 24시간),129.05322070536678,35.139163801044994,kakao
동신할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.04822266676993,35.13846890566437,kakao
좌천할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.047376410928,35.1367872151734,kakao
만복상회,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.046078953593,35.1366685547794,kakao
수정노인재가센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.047595303393,35.1372485176895,kakao
수동경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04621148535827,35.137405273496015,kakao
GS25 동의대상대점,편의점,1.0,1.0,없음(이미 24시간),129.03311657114446,35.139581300272525,kakao
미미쿡마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.057859148003,35.1331977770465,kakao
성남슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.055493012001,35.1328937023604,kakao
우체국365코너,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.055278401031,35.1355711033388,kakao
수정노인재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05565076827,35.1327982053582,kakao
사랑채주간보호센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05431103407,35.133876197532,kakao
좌일경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05396183304,35.1360449177704,kakao
좌천역 부산1호선,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.054455383044,35.1343820073548,kakao
증산경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.052603375342,35.1394383049272,kakao
지혜실버홈,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.054805907592,35.138027586552,kakao
수성지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.043553981456,35.1348403515361,kakao
범일1동청년회방범초소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.053908662712,35.1388187068904,kakao
펫마트 범일점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.056940369525,35.1389718287795,kakao
산청마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.055859393446,35.1390875056099,kakao
미화당슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.055535052109,35.136659862807,kakao
행복노인복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.055989791608,35.1389942746952,kakao
동구케어 노인주간보호센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.056942795817,35.1373244574734,kakao
범일1동널박경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.055403209749,35.1399675751233,kakao
한성기린프라자아파트 경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.056936255219,35.1389827126254,kakao
좌천파출소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.056005354933,35.1372142088199,kakao
GS25 한성기린점,편의점,1.0,1.0,없음(이미 24시간),129.05682782064088,35.13938196766054,kakao
태양수퍼마켙,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.053333592288,35.1372378982922,kakao
문화슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.05354886214351,35.13694227134682,kakao
럭키 수퍼마켓,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.051334177345,35.1397481780359,kakao
근대화수퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0480076474,35.1392133003843,kakao
범일할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.049633945557,35.1397129760311,kakao
대양씨앤씨직영주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.057280755272,35.131050209587,kakao
GS더프레시 부산하버시티점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.05673724759,35.1325121179664,kakao
GS25 동부점,편의점,1.0,1.0,없음(이미 24시간),129.054273190458,35.135513357144,kakao
