"행정구역","2026년06월_거주자_총인구수","2026년06월_거주자_연령구간인구수","2026년06월_거주자_60~64세","2026년06월_거주자_65~69세","2026년06월_거주자_70~74세","2026년06월_거주자_75~79세","2026년06월_거주자_80~84세","2026년06월_거주자_85~89세","2026년06월_거주자_90~94세","2026년06월_거주자_95~99세","2026년06월_거주자_100세 이상","2026년06월_남_거주자_총인구수","2026년06월_남_거주자_연령구간인구수","2026년06월_남_거주자_60~64세","2026년06월_남_거주자_65~69세","2026년06월_남_거주자_70~74세","2026년06월_남_거주자_75~79세","2026년06월_남_거주자_80~84세","2026년06월_남_거주자_85~89세","2026년06월_남_거주자_90~94세","2026년06월_남_거주자_95~99세","2026년06월_남_거주자_100세 이상","2026년06월_여_거주자_총인구수","2026년06월_여_거주자_연령구간인구수","2026년06월_여_거주자_60~64세","2026년06월_여_거주자_65~69세","2026년06월_여_거주자_70~74세","2026년06월_여_거주자_75~79세","2026년06월_여_거주자_80~84세","2026년06월_여_거주자_85~89세","2026년06월_여_거주자_90~94세","2026년06월_여_거주자_95~99세","2026년06월_여_거주자_100세 이상"
"부산광역시 동구 (2617000000)","82,869","33,230","6,774","8,071","6,649","5,152","3,657","2,050","712","149","16","40,242","14,607","3,382","3,844","2,953","2,170","1,401","654","174","28","1","42,627","18,623","3,392","4,227","3,696","2,982","2,256","1,396","538","121","15"
"부산광역시 동구 초량제1동(2617051000)","4,776","1,851","389","438","388","293","207","104","24","7","1","2,415","845","221","207","166","119","98","31","3","0","0","2,361","1,006","168","231","222","174","109","73","21","7","1"
"부산광역시 동구 초량제2동(2617052000)","4,837","2,451","455","568","507","421","280","159","46","14","1","2,397","1,092","239","276","229","174","105","51","12","5","1","2,440","1,359","216","292","278","247","175","108","34","9","0"
"부산광역시 동구 초량제3동(2617053000)","12,973","2,906","780","786","541","370","230","133","58","8","0","6,188","1,330","374","386","240","176","96","41","14","3","0","6,785","1,576","406","400","301","194","134","92","44","5","0"
"부산광역시 동구 초량제6동(2617055000)","4,752","2,463","426","556","493","436","277","189","66","19","1","2,300","1,059","218","267","217","172","109","55","17","4","0","2,452","1,404","208","289","276","264","168","134","49","15","1"
"부산광역시 동구 수정제1동(2617056000)","3,890","1,545","287","330","335","269","192","94","30","8","0","1,915","645","136","142","137","118","66","38","8","0","0","1,975","900","151","188","198","151","126","56","22","8","0"
"부산광역시 동구 수정제2동(2617057000)","8,504","3,884","743","934","780","668","437","218","89","13","2","4,029","1,655","355","416","337","275","181","73","17","1","0","4,475","2,229","388","518","443","393","256","145","72","12","2"
"부산광역시 동구 수정제4동(2617059000)","3,161","1,773","297","368","350","297","246","147","57","9","2","1,552","750","159","191","153","99","91","41","15","1","0","1,609","1,023","138","177","197","198","155","106","42","8","2"
"부산광역시 동구 수정제5동(2617060000)","4,361","2,354","411","521","466","410","305","174","54","12","1","2,082","974","194","238","185","181","105","56","13","2","0","2,279","1,380","217","283","281","229","200","118","41","10","1"
"부산광역시 동구 좌천동(2617064500)","10,522","4,653","961","1,109","905","724","528","303","100","20","3","5,032","2,019","464","538","393","301","198","97","25","3","0","5,490","2,634","497","571","512","423","330","206","75","17","3"
"부산광역시 동구 범일제1동(2617065000)","10,078","5,110","983","1,308","1,043","746","575","321","113","19","2","4,877","2,251","491","622","470","317","219","103","24","5","0","5,201","2,859","492","686","573","429","356","218","89","14","2"
"부산광역시 동구 범일제2동(2617066000)","6,068","2,114","522","594","401","269","177","107","37","7","0","3,046","1,035","281","294","209","127","68","39","15","2","0","3,022","1,079","241","300","192","142","109","68","22","5","0"
"부산광역시 동구 범일제5동(2617068000)","8,947","2,126","520","559","440","249","203","101","38","13","3","4,409","952","250","267","217","111","65","29","11","2","0","4,538","1,174","270","292","223","138","138","72","27","11","3"
