집계구코드,행정동,75세이상인구_2026,안전센터_도로거리_m,하차후_도보거리_m,하차후_표고차_m,t1_출동_분,t2_접근_들것_분,t3_이송_분,총_도달시간_분,평지기준_도달시간_분,지연_분,지연_t1_분,지연_t2_분,지연_t3_분,위험도_거리기준,위험도_시간기준
21030550010007,초량6동,119.3,1162.0,4.0,1.0,7.24,0.35,12.02,23.6,22.25,1.35,0.68,0.15,0.52,0.912,1.0
21030550010010,초량6동,128.5,1184.0,22.8,-7.0,6.81,2.37,9.73,22.92,20.27,2.65,0.69,1.46,0.5,1.0,0.997
21030520010007,초량2동,129.6,1087.0,10.3,1.8,5.67,0.66,9.33,19.67,18.41,1.26,0.34,0.25,0.67,0.926,0.789
21030550010006,초량6동,86.1,1488.0,336.1,-45.4,7.49,18.42,12.02,41.93,35.65,6.28,0.68,5.07,0.52,0.731,0.726
21030700010010,좌천동,85.8,794.0,13.3,2.3,13.26,0.83,15.27,33.37,31.9,1.47,0.43,0.3,0.73,0.448,0.723
21030700010007,좌천동,106.5,1049.0,25.9,-3.0,5.87,1.33,17.79,28.99,27.23,1.76,0.75,0.3,0.71,0.734,0.679
21030550010008,초량6동,87.2,1105.0,39.4,-10.6,6.81,3.54,9.73,24.08,20.93,3.16,0.69,1.97,0.5,0.634,0.676
21030700010002,좌천동,114.8,1014.0,22.1,-4.0,5.5,1.43,16.81,27.75,25.86,1.88,0.34,0.56,0.98,0.765,0.671
21030550010001,초량6동,84.9,1173.0,40.9,-0.5,6.75,1.63,12.75,25.13,23.93,1.2,0.61,0.0,0.59,0.655,0.651
21030700010011,좌천동,94.1,1250.0,2.8,-0.2,6.09,0.2,17.7,28.0,26.54,1.46,0.74,0.0,0.71,0.773,0.631
21030550010002,초량6동,110.2,996.0,23.0,0.2,5.38,0.92,10.53,20.83,19.62,1.21,0.34,0.0,0.87,0.721,0.624
21030550010005,초량6동,97.5,932.0,26.6,-2.2,5.88,1.21,13.32,24.42,22.88,1.54,0.36,0.16,1.02,0.598,0.624
21030550010009,초량6동,112.5,937.0,27.2,8.0,5.27,2.7,11.1,23.06,20.21,2.86,0.36,1.62,0.88,0.692,0.618
21030510010004,초량1동,71.4,1339.0,4.8,1.4,7.47,0.48,7.54,19.48,18.08,1.41,0.76,0.28,0.37,0.607,0.602
21030520010005,초량2동,76.0,1262.0,82.1,5.8,6.81,3.57,8.69,23.08,21.6,1.48,0.69,0.31,0.48,0.631,0.59
21030520010001,초량2동,94.7,958.0,36.2,0.7,5.42,1.44,9.33,20.19,19.19,1.0,0.32,0.0,0.67,0.596,0.541
21030700010003,좌천동,89.9,1038.0,40.8,7.3,5.6,2.63,17.07,29.3,26.81,2.49,0.52,1.01,0.97,0.614,0.538
21030700010006,좌천동,92.0,1416.0,11.5,-2.6,5.5,0.89,16.81,27.21,25.45,1.76,0.34,0.43,0.98,0.782,0.538
21030510010007,초량1동,103.8,854.0,2.5,0.1,4.85,0.2,10.58,19.63,18.97,0.65,0.23,0.0,0.42,0.583,0.507
21030520010601,초량2동,63.6,1156.0,33.5,-7.3,6.81,2.5,8.69,22.01,19.67,2.34,0.69,1.17,0.48,0.483,0.493
21030700010001,좌천동,198.5,477.0,17.9,-0.7,3.14,0.72,14.62,22.48,21.74,0.74,0.02,0.01,0.71,0.623,0.476
21030510010010,초량1동,84.8,1052.0,6.1,1.1,5.29,0.39,8.23,17.91,17.17,0.74,0.31,0.15,0.29,0.587,0.469
21030510010002,초량1동,60.3,1285.0,2.4,-0.8,6.47,0.31,8.8,19.58,18.3,1.27,0.55,0.11,0.61,0.509,0.437
21030700010009,좌천동,82.7,885.0,21.8,-4.3,5.08,1.51,17.21,27.81,25.91,1.89,0.54,0.65,0.71,0.481,0.432
21030700010012,좌천동,81.7,1239.0,12.3,0.9,5.04,0.53,7.82,17.4,16.57,0.83,0.2,0.05,0.58,0.665,0.422
21030510010001,초량1동,84.8,1052.0,0.6,-0.1,4.91,0.2,8.77,17.88,17.33,0.55,0.26,0.0,0.29,0.587,0.422
21030550010003,초량6동,83.8,960.0,40.3,-5.9,4.93,2.31,11.1,22.34,20.42,1.92,0.27,0.71,0.94,0.529,0.419
21030520010003,초량2동,122.1,743.0,9.6,0.6,3.81,0.41,10.8,19.03,18.49,0.54,0.05,0.03,0.46,0.597,0.412
21030510010005,초량1동,74.8,913.0,39.5,-9.4,4.97,3.15,9.21,21.33,19.14,2.19,0.26,1.58,0.35,0.449,0.378
21030520010201,초량2동,38.6,1262.0,46.0,4.6,7.13,2.21,8.46,21.8,20.27,1.53,0.69,0.39,0.45,0.32,0.317
21030700010015,좌천동,84.8,598.0,20.5,-3.3,3.98,1.24,16.2,25.42,24.03,1.39,0.22,0.43,0.74,0.333,0.306
21030700010013,좌천동,91.0,708.0,55.8,6.6,3.61,2.88,15.78,26.28,24.71,1.57,0.19,0.67,0.71,0.423,0.281
21030520010008,초량2동,98.5,517.0,4.6,0.0,3.43,0.2,10.8,18.43,17.89,0.54,0.05,0.0,0.49,0.335,0.278
21030550010004,초량6동,78.0,624.0,26.3,2.1,3.87,1.18,11.86,20.91,19.92,0.99,0.11,0.14,0.75,0.32,0.27
21030700010005,좌천동,86.8,430.0,39.5,-8.5,3.62,2.9,16.07,26.59,24.33,2.26,0.22,1.33,0.71,0.245,0.269
21030520010006,초량2동,73.5,709.0,55.5,6.9,3.81,2.92,10.39,21.12,19.9,1.22,0.05,0.72,0.45,0.343,0.248
21030700010004,좌천동,60.0,890.0,19.4,4.3,4.12,1.45,14.7,24.27,22.64,1.63,0.05,0.68,0.9,0.351,0.23
21030700010301,좌천동,26.9,1048.0,33.6,-2.5,13.26,1.48,15.27,34.01,32.71,1.31,0.43,0.14,0.73,0.185,0.227
21030700020002,좌천동,56.9,1017.0,7.1,0.0,4.07,0.28,15.53,23.88,23.04,0.84,0.07,0.0,0.76,0.38,0.213
21030530020006,초량3동,97.0,725.0,31.8,0.7,2.99,1.27,11.41,19.66,19.06,0.6,0.07,0.0,0.53,0.462,0.211
21030700010401,좌천동,49.6,477.0,42.3,-9.8,4.36,3.32,16.69,28.37,25.68,2.69,0.34,1.64,0.71,0.156,0.207
21030700010008,좌천동,75.5,535.0,6.6,-0.3,3.3,0.27,15.52,23.09,22.23,0.86,0.14,0.0,0.71,0.265,0.198
21030530020003,초량3동,55.8,509.0,0.7,0.0,3.81,0.2,12.1,20.11,19.42,0.69,0.16,0.0,0.53,0.187,0.188
21030510010006,초량1동,39.1,855.0,10.3,0.9,4.74,0.48,9.21,18.43,17.81,0.62,0.2,0.07,0.35,0.22,0.185
21030520010004,초량2동,63.6,594.0,49.9,1.8,3.37,2.0,10.8,20.17,19.62,0.55,0.07,0.02,0.46,0.248,0.174
21030510010011,초량1동,41.3,882.0,20.5,-0.5,4.03,0.82,9.26,18.11,17.67,0.44,0.11,0.0,0.32,0.239,0.153
21030510010003,초량1동,31.2,1131.0,14.5,-0.1,4.73,0.58,9.66,18.97,18.27,0.7,0.26,0.0,0.44,0.232,0.147
21030520010010,초량2동,54.8,655.0,2.4,-0.0,3.3,0.2,9.9,17.4,16.84,0.56,0.06,0.0,0.5,0.236,0.144
21030510010009,초량1동,31.2,915.0,12.6,0.8,4.39,0.53,8.53,17.45,16.97,0.48,0.11,0.03,0.34,0.188,0.132
21030530020401,초량3동,27.5,652.0,47.6,-0.7,4.71,1.89,13.01,23.62,22.93,0.69,0.22,0.0,0.46,0.118,0.129
21030530020001,초량3동,45.3,571.0,31.0,-1.1,3.46,1.24,12.27,20.97,20.19,0.78,0.15,0.01,0.62,0.17,0.129
21030700010016,좌천동,54.8,448.0,17.0,-0.7,3.08,0.68,15.62,23.38,22.54,0.84,0.13,0.01,0.71,0.161,0.126
21030700010014,좌천동,73.4,268.0,40.3,-2.2,2.52,1.65,15.17,23.34,22.56,0.78,0.02,0.05,0.71,0.129,0.109
21030700020101,좌천동,28.9,893.0,27.9,-0.7,3.93,1.11,15.53,24.57,23.74,0.82,0.07,0.0,0.76,0.17,0.103
21030520010002,초량2동,36.1,636.0,13.0,0.1,3.38,0.52,9.46,17.36,16.81,0.55,0.05,0.0,0.5,0.151,0.099
